,event,cycle,loc,transaction,src,src_index,dst,dst_index,req,cacheLine,reqAddr,data,size,tran_id,cpuID,mshrSize,ICacheState,NCacheState,hit-miss,type-op
0,New,2000,l1cache_2,ReadUnique,memHierarchyTester,0,l1cache_2,1,l1cache_2,0x3ec0,0x3eec,T,1,32,32,1,I,IUD,miss,Forward
1,Send,3000,l1cache_2,ReadUnique,l1cache_2,1,l2cache_2,2,-,0x3ec0,0x3eec,-,64,32,32,-,-,-,-,-
2,New,3000,l1cache_0,ReadUnique,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x6c0,0x6e8,T,1,33,33,1,I,IUD,miss,Forward
3,New,4000,l2cache_2,ReadUnique,l1cache_2,1,l2cache_2,2,l1cache_2,0x3ec0,0x3eec,F,64,32,32,1,I,IUD,miss,Forward
4,Send,4000,l1cache_0,ReadUnique,l1cache_0,1,l2cache_0,2,-,0x6c0,0x6e8,-,64,33,33,-,-,-,-,-
5,New,4000,l1cache_0,ReadNotSD,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x41c0,0x41e8,F,1,34,34,2,I,ISC,miss,Forward
6,Send,5000,l1cache_0,ReadNotSD,l1cache_0,1,l2cache_0,2,-,0x41c0,0x41e8,-,64,34,34,-,-,-,-,-
7,New,5000,l1cache_1,ReadNotSD,memHierarchyTester,0,l1cache_1,1,l1cache_1,0x14c0,0x14e8,F,1,35,35,1,I,ISC,miss,Forward
8,New,6000,l2cache_0,ReadUnique,l1cache_0,1,l2cache_0,2,l1cache_0,0x6c0,0x6e8,F,64,33,33,1,I,IUD,miss,Forward
9,New,6000,l2cache_0,ReadNotSD,l1cache_0,1,l2cache_0,2,l1cache_0,0x41c0,0x41e8,F,64,34,34,2,I,ISC,miss,Forward
10,Send,6000,l1cache_1,ReadNotSD,l1cache_1,1,l2cache_1,2,-,0x14c0,0x14e8,-,64,35,35,-,-,-,-,-
11,New,6000,l1cache_1,ReadNotSD,memHierarchyTester,0,l1cache_1,1,l1cache_1,0x4cc0,0x4ce8,F,1,36,36,2,I,ISC,miss,Forward
12,Send,7000,l1cache_1,ReadNotSD,l1cache_1,1,l2cache_1,2,-,0x4cc0,0x4ce8,-,64,36,36,-,-,-,-,-
13,New,7000,l1cache_2,ReadNotSD,memHierarchyTester,0,l1cache_2,1,l1cache_2,0x24c0,0x24ec,F,1,37,37,2,I,ISC,miss,Forward
14,Send,8000,l2cache_2,ReadUnique,l2cache_2,2,dc2,3,-,0x3ec0,0x3eec,-,64,32,32,-,-,-,-,-
15,New,8000,l2cache_1,ReadNotSD,l1cache_1,1,l2cache_1,2,l1cache_1,0x14c0,0x14e8,F,64,35,35,1,I,ISC,miss,Forward
16,New,8000,l2cache_1,ReadNotSD,l1cache_1,1,l2cache_1,2,l1cache_1,0x4cc0,0x4ce8,F,64,36,36,,,,,
17,Send,8000,l1cache_2,ReadNotSD,l1cache_2,1,l2cache_2,2,-,0x24c0,0x24ec,-,64,37,37,-,-,-,-,-
18,New,8000,l1cache_1,ReadUnique,memHierarchyTester,0,l1cache_1,1,l1cache_1,0x400,0x418,T,1,38,38,3,I,IUD,miss,Forward
19,Send,9000,l1cache_1,ReadUnique,l1cache_1,1,l2cache_1,2,-,0x400,0x418,-,64,38,38,-,-,-,-,-
20,New,9000,l1cache_1,ReadUnique,memHierarchyTester,0,l1cache_1,1,l1cache_1,0x12c0,0x12e8,T,1,39,39,4,I,IUD,miss,Forward
21,Send,10000,l2cache_0,ReadUnique,l2cache_0,2,dc0,3,-,0x6c0,0x6e8,-,64,33,33,-,-,-,-,-
22,Send,10000,l2cache_0,ReadNotSD,l2cache_0,2,dc2,3,-,0x41c0,0x41e8,-,64,34,34,-,-,-,-,-
23,New,10000,l2cache_1,ReadNotSD,l1cache_1,1,l2cache_1,2,l1cache_1,0x4cc0,0x4ce8,F,64,36,36,2,I,ISC,miss,Forward
24,New,10000,l2cache_1,ReadUnique,l1cache_1,1,l2cache_1,2,l1cache_1,0x400,0x418,F,64,38,38,3,I,IUD,miss,Forward
25,New,10000,l2cache_2,ReadNotSD,l1cache_2,1,l2cache_2,2,l1cache_2,0x24c0,0x24ec,F,64,37,37,2,I,ISC,miss,Forward
26,Send,10000,l1cache_1,ReadUnique,l1cache_1,1,l2cache_1,2,-,0x12c0,0x12e8,-,64,39,39,-,-,-,-,-
27,New,10000,l1cache_0,ReadNotSD,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x440,0x44c,F,1,40,40,3,I,ISC,miss,Forward
28,Send,11000,l1cache_0,ReadNotSD,l1cache_0,1,l2cache_0,2,-,0x440,0x44c,-,64,40,40,-,-,-,-,-
29,New,11000,l1cache_1,ReadUnique,memHierarchyTester,0,l1cache_1,1,l1cache_1,0x32c0,0x32e8,T,1,41,41,5,I,IUD,miss,Forward
30,Send,12000,l2cache_1,ReadNotSD,l2cache_1,2,dc2,3,-,0x14c0,0x14e8,-,64,35,35,-,-,-,-,-
31,New,12000,l2cache_1,ReadUnique,l1cache_1,1,l2cache_1,2,l1cache_1,0x12c0,0x12e8,F,64,39,39,4,I,IUD,miss,Forward
32,New,12000,l2cache_0,ReadNotSD,l1cache_0,1,l2cache_0,2,l1cache_0,0x440,0x44c,F,64,40,40,3,I,ISC,miss,Forward
33,Send,12000,l1cache_1,ReadUnique,l1cache_1,1,l2cache_1,2,-,0x32c0,0x32e8,-,64,41,41,-,-,-,-,-
34,New,12000,l1cache_0,ReadNotSD,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x28c0,0x28e8,F,1,42,42,4,I,ISC,miss,Forward
35,Send,13000,l1cache_0,ReadNotSD,l1cache_0,1,l2cache_0,2,-,0x28c0,0x28e8,-,64,42,42,-,-,-,-,-
36,New,13000,l1cache_2,ReadNotSD,memHierarchyTester,0,l1cache_2,1,l1cache_2,0x54c0,0x54e8,F,1,43,43,3,I,ISC,miss,Forward
37,Send,14000,l2cache_1,ReadNotSD,l2cache_1,2,dc1,3,-,0x4cc0,0x4ce8,-,64,36,36,-,-,-,-,-
38,Send,14000,l2cache_1,ReadUnique,l2cache_1,2,dc1,3,-,0x400,0x418,-,64,38,38,-,-,-,-,-
39,New,14000,l2cache_1,ReadUnique,l1cache_1,1,l2cache_1,2,l1cache_1,0x32c0,0x32e8,F,64,41,41,5,I,IUD,miss,Forward
40,Send,14000,l2cache_2,ReadNotSD,l2cache_2,2,dc0,3,-,0x24c0,0x24ec,-,64,37,37,-,-,-,-,-
41,New,14000,l2cache_0,ReadNotSD,l1cache_0,1,l2cache_0,2,l1cache_0,0x28c0,0x28e8,F,64,42,42,4,I,ISC,miss,Forward
42,Send,14000,l1cache_2,ReadNotSD,l1cache_2,1,l2cache_2,2,-,0x54c0,0x54e8,-,64,43,43,-,-,-,-,-
43,New,14000,l1cache_0,ReadUnique,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x36c0,0x36e8,T,1,44,44,5,I,IUD,miss,Forward
44,Send,15000,l1cache_0,ReadUnique,l1cache_0,1,l2cache_0,2,-,0x36c0,0x36e8,-,64,44,44,-,-,-,-,-
